;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
Slovenija;Jamski sistem Postojnska jama;Postojna, Slovenija;28.10.2012.;;9,2;;8,7;;88,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Jan?ikin guz špilja;Jankovac, Papuk;25.10.2008.;;11,4;10,5;10,5;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Janki?in guz;, Kova?ica, Jankovac, Velika, Papuk;23.9.2010.;;13,1;12,5;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;JANKOVA?KI IZVOR;6475960, 5041242, 498 m;22.4.2006.;;;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jara? na ponti od Graca;Pola?e;3.5.2008.;;11,4;;;;;zrak i voda u nakapnici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jara? na ponti od Graca;Pola?e;3.5.2008.;;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jara? na ponti od Graca;Pola?e, o. Mljet;6.4.2015.;;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jaruga;Tatinica, uvala ?artovica, o. Mljet;8.4.2015.;;9,7;;;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jaruga (Špilja kod Jaruge, Špilja kod Špilje kod Jaruge);Tatinica, uvala ?artovica, o. Mljet;23.10.2015.;;13,3;14,8;;14,9;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jasenova glavica;Jasenova glavica, Dan?anje, Ston;31.3.2019.;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Jazinka;;12.7.2024.;;13;12,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;JELENOVA ŠPILJA;6474538, 5041534, 560;21.4.2006.;;6;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Jelenova špilja;Kova?ica, Jankovac, Velika, Papuk;23.9.2010.;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Ješkalovica;Selca, Bra?;20.6.2024.;;;;;;;;;;;;;;;;;;;;15,4;;;15,8;95,1;: druga dvorana:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Trogir_Brac_Hvar_dnevnik terena_11-15.3.2011;Ješkalovica jama;Selca, O. Bra?;12.3.2011.;;;;;15, 1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_19.02.-21.02.2010_Leptomeson 1;Ješkalovica jama;Selca, Bra?;21.2.2010.;;14, 1;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Jezero;Kuna, Sniježnica;7.6.2014.;;8;;"7,8
";8,1;96,5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Jezero;Kuna Konavoska, Sniježnica;1.11.2016.;;;;;;;;;;;;;;;;;;;;6,8;;;6,7;;kod ljestava za jezero;7,9;;7,7;8,1;;kod jezera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JEZERO LEDENICA;Stražbenica, Kaoci;20.6.2003.;;;;;;;;;;;;;;0,6;;;;92;Na kraju špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Jezero na Gatuli;Gatula, otok Biševo;4.7.2017.;;;;;;;;;;;;;;15,6;;;15,5;93;Na dnu: Termohigro;16,6;16,7;;16,5;91;Ispod vertikale Termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Jolina jama (Špilja na Gustacu);o. Gustac kod Piškere, NP Kornati;1.10.2017.;;;;;;;;19,1;21,4;;;;termometar ubodni ulazna dvorana;18,3;17,6;;;;termometar ubodni: na dnu dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena_Jopi?eva_30.01.2021;Jopi?eva špilja;"Brebornica; Vrelce; Krnjak; Karlova?ka županija";30.1.2021.;;;;;;;;;;;;;;;;;;;;9,2;;9,2;;;u dvorani s Machaeritesom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Josipova jama;Ravna gora, G. Kotar;4.10.2015.;;10,6;7,5;7,5;;81,7  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terenaA3_Istra_Gorski kotar;Josipova jama;X= 5500169 Y=5027498;30.3.2014.;;;;;;;;5;;;;;ulazni dio;;;;;;;6,4;;;;;kraj dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Biokovo 10 mj 2014;Jujnovi?a špilja;Jujnovi?i, Kozica, Biokovo;15.10.2014.;;;;;;;;;;;;;; 13,8;;;;96,8 ;na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_A3_Biokovo 5mj 2016_finalno;Jujnovi?a špilja;Jujnovi?i, Kozica, Biokovo;14.5.2016.;;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Mosor-Biokovo_dnevnik terena A2_27.04.-01.05.2012;JUJNOVI?A ŠPILJA;Jujnovi?i, Kozica, Vrgorac;1.5.2012.;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JUJNOVI?A ŠPILJA;Jujnovi?i, Kozica;14.10.2002.;;12,3;;;;97,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_12.07.-17.07.2010_Leptomeson & Anthroherpon;Kali pe?ina (Dobrata pe?ina);Slivnica (Grebci), Hercegovina;16.7.2010.;;;;;;;;;;;;;;10, 8;;;;94, 3;pred kraj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Kameni kola?i?;Sv. Ivan, Dubrava;28.3.2019.;;;;;;;;;;;;;;8,7;;;9,3;91;"dno termo-hidro, int; ext ne mjeri temperaturu for zrak and termo-hidro, ext for vlaga";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_09_Dnevnik terena jug2_evodark_final;Kanal za navodnjavanje;Grgi?i, Ljubuški;6.9.2020.;;;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Kapela;Gove?ari, Mljet (sinonim Izvor kraj puta);24.10.2022.;;;;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Kaptaža K2;Dol, Bra?;18.6.2024.;;14;;14;14,7;94,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Trogir_Brac_Hvar_dnevnik terena_11-15.3.2011;Kaptaža K-2;Dol, Postire, O. Bra?;12.3.2011.;;;;;;;;;;;;;;;;;;;;11,4;;;11,6;93,4;Ispod vertikale;13,1;;;11,4;94,1;Kod Velikog jezera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Karlova jama;Sopalj, Kostrena, Rijeka;6.6.2010.;;12,4;;;;85;netemperiran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Biokovo 10 mj 2014;Kašogijeva jama;Sv. Jure, Biokovo;11.10.2014.;;;;;;;;;;;;;;5,7;;;;91;dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Kaverna 781;Konavoski tunel, Popovi?i, Cavtat, Dubrovnik;30.10.2016.;;12,5;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Kaverna 781;Tunel Konavosko polje (Popovi?i) – more (Pasja?a), Popovi?i, Cavtat, Dubrovnik;20.10.2016.;;12,1;12;;12,7;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023_09_Dnevnik terena Marifugia;Kaverna K2 Dol;o. Bra?;12.9.2023.;;;;16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pelješac kaverna u tunelu Debeli brijeg - Mljet 11.2-15.2.2021_;Kaverna km 12+188,00;Tunel Debeli brijeg, Dan?anje, Pelješac;12.2.2021.;;;;;;;;;;;;;;;;;;;;11,4;;;;100;prva dvorana;13,4;;13,5;13,6;100;Iznad cijevi, Termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Kaverna u zra?noj luci;?ilipi Velika;3.6.2014.;;16,3;;;16,2;96,5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Kaverne u tunelu Konavle;more, Gruda- Popovi?i, Konavle;30.8.2014.;;;;;;;;13,0;13,0?;;;100;Ulaz u kavernu-siparište;;;;;;;13;12,4;;;100;Prije prvog provla?enja;12,8?;12,4;;;100;Prije drugog provla?enja;13,9;13,0;;;100;Tunel- Ulaz u kavernu;14,6;13,7;;;100;Tunel- metar prema polju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 2012, sh;Keranova Golubinka;;18.12.2012.;;;;;;;;;;;;;;;;;;;;6,8;;;;;(donja dvoranica di je na?n Haplotropidius);9,1;;;;;(dvorana nakon skoka);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;KNEŽI? JAMA;Kneži?, Kozarica, o. Mljet;20.10.2015.;;16,5;;;16,3;99,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Koludrova špilja;Koludrovi doci, Gornje selo, Šolta;28.6.2017.;;12;12;;11,9;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik Metkovi? 2013_TC_.pdf;Kornjatuša;Dobranje, Metkovi?;2.11.2013.;;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Kotluša;Vrlika;21.6.2024.;;11,7;;;11,9;95,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Kova?ica jama;Jankovac, Papuk;25.10.2008.;;;;;;;;;;;;;;;;;;;;9,3;8,9;8,8;;100;Kod vode (mjerio Roman);;;8,7;;;Potok, mjerila Jana:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Atila_2012_final;Kozjakuša;Vršeljci, Pazarište, srednji Velebit;3.8.2012.;;;;;;;;;;;;;;7,2;7,2;7,1;8,5;88,7;Postaja dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Kraljevska jama;Gromin dolac, o. Hvar;5.5.2011.;;;;;;;;;;;;;;;;;;;;16,2;15,9;;;;na polici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;KRALJEVSKA JAMA;GROMIN DOLAC, O. HVAR;2.4.2005.;;15,9;15,1;;15,4;97;polica;;;;;;;;15,1;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;KRALJICINA ŠPILJA;Oklju?na, Vis;3.10.2005.;;15,1;;;;91-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Mosor-Biokovo_dnevnik terena A2_27.04.-01.05.2012;KRAVSKA (KRAVLJA) JAMA;Bradari?a staje, Tuki?i;29.4.2012.;;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_09_Dnevnik terena jug2_evodark_final;Kravska jama;Bradari?a staje, Kotlenice;13.9.2020.;;;;24,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Kriva?a špilja;Osojnik;31.3.2008.;;;;;;;;11,0;;;;78,6;;;;;;;;8,9;;;;100;Kraj dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;KRJAVA 1;Velo Brdo;21.6.2002.;;;;;;;;;;;;;;;;;;;;10,7;;;;95,3;Kraj dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;KRJAVA 2;Velo Brdo;21.6.2002.;;;;;;;;;;;;;;;;;;;;8,9;;;;95;Na kraju dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;KRJAVA 2;Velo Brdo;24.3.2003.;;;;;;;;;;;;;;;;;;;;6,6;;;;;Dvorana sa sigama;4,1;;;;;Ispod vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;KRJAVA 2;Velo Brdo;27.10.2006.;;10,1;8,4;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Krsti?evi?a jama;Borovci, Metkovi?;22.10.2016.;;13,3;;;14,1;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Krupa izvor;Krupa, Obrovac, Južni Velebit;13.6.2011.;;12, 0;;10, 7;11,9;96, 1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovenija;Kubik;Brezovica pri Gradinu, Gradin, Koprska brda, Istra, Slovenija;21.10.2010.;;;;;;;;;;;;;;;;;;;;13,0;12,3;12,4;;100;Prije suženja s vodom:;13,1;12,5;;;100;Ispod ulazne vertikale u dvoranici s desne strane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024_09_Biokovo – Hvar Bioblitz dnavmik_30.9.-5.10.2024_;Kukor;Bast, Biokovo;1.10.2024.;;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Kukor;Bast, Biokovo;1.10.2024.;;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Kukor špilja;Bast, Biokovo;16.5.2016.;;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Hercegovina_CG_2014_11_29;Kukova pe?;Brse?ine, Trsteno, Dubrovnik;30.11.2014.;;16,1;15,2;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Kukova pe?;Brse?ine, Trsteno, Dubrovnik;30.11.2014.;;16,1;15,2;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Kukova pe?;"Majkovi (81,5m; -22m)";23.8.2014.;;;;;;;;21,0;21,6;;;100;Ulaz;17,0;15,4;;;100;Na kraju špilje;17,0;17,5;;;100;Na rasjedu;16,5;15,5;;;100;Dvorana, nakon provla?enja-donji dio;16,1;15,4;;;100;Dvorana, nakon provla?enja-gornji dio:;17,4;16,0?;;;100;Ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Kukuruzovi?eva špilja;Vaganac, Drežnik, Kordun;25.6.2011.;;10,8;;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;KUNA ŠPILJA;?edor;28.4.2002.;;4,5;;;;98,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik Ucka 2006_BIUS_final;Kupi?i pe?ina;Brest pod U?kom, vojni poligon iznad Bresta, ?i?arija;23.7.2006.;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Kusa II;kanjon Krupe, Obrovac;29.8.2024.;;;;;;;;;;;;;;;;;;;;0;;12,5;12,5;93;jezero s Monolistrama;12,2;;;13,1;92,2;Bo?ni kanal sa saljevima i suženjem na kraju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;KUSA NAD MANASTIRSKIM LUKAMA;(Kusa 2), Krupa, Obrovac – KEC;28.7.2006.;;12,5;12,4;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;KUSA NAD MANASTIRSKIM LUKAMA;(Kusa 2), Krupa, Obrovac – KEC;1.8.2006.;;;;;;;;;;;;;;;;;;;;12,5;;12,6;;92;Kod Slapa;11,8;12,1;;;83; To?ka 186 (dalje u špilji);13,1;;13,0;;88;Na sifonima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Kusa?ko jezero;Kusac, Palanka, Knin, Zrmanja;1.5.2010.;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Kuterev?eva špilja;kanjon korane, La?eva?ko selište, Slunj;25.5.2008.;;;;;;;;10,3;;10;;98,2;ulazna dvorana;;;;;;;12,3;10,1;10,2;12,4;96;Prije provla?enja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_06_Dnevnik  terena_EvoDark_SLO_CG_jug_06_2020_fin;lateralni kanal kod Vranskog jezera;Vrana;4.7.2020.;;;;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Lažna Josipova jama;Ravna gora, G. Kotar;4.10.2015.;;8 ,4;;;;94,6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terenaA3_Istra_Gorski kotar;Lažna Josipova jama;X= 5500122 Y=5027453;30.3.2014.;;;;;;;;;;;;;;;;;;;;6,8;;6,5 ;;;na kraju dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Ledena špilja;Golubinjak, G. kotar;3.10.2015.;;7,3;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;LEDENA ŠPILJA;Golubinjak, Lokve;7.7.2020.;;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krk;LEDENA ŠPILJA;Golubinjak, Lokve;7.7.2007.;;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;LEDENA TREPETLJIKA;Kaoci;20.6.2003.;;;;;;;;;;;;;;0,9;;;;92,1;Dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;LEDENICA KOD STARE ŠKOLE;Sv. Jure;28.6.2002.;;;;;;;;18,2;;;;;Na ulazu;1,8;;;;92,0;Dno;4,2;;;;99,0;Ispod ulaza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Grabovaca_BIUS_kolovoz_2014;ledenica pod pe?inskim vrhom;peruši?;7.8.2014.;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Lijepa jama;Suhodol, Jankovac, Papuk;27.10.2008.;;10,8;9,6;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Ljilljkova?a jama;Pozla Gora, Vrgorac;2.11.2019.;;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Biokovo 10 mj 2014;Lovri?ija 1;Lipi do?i?, Sv. Jure, Biokovo;13.10.2014.;;;;;;;;;;;;;;;;;;;;4,7;;;;91;gornja polica di je bila zamka 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Lovri?ija 1;Lipi do?i?, Sv. Jure, Biokovo;27.4.2014.;;;;;;;;;;;;;;;;;;;;3,2;3,1;;;;prva ve?a kosina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Lovri?ija II;Sv. Jure, Biokovo;24.6.2017.;;3,4;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;LOVRI?IJA JAMA 1;Sv. Jure;15.6.2002.;;4,5;;;;92,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_04_28_Dnevnik terena Le?evica 28.-30.4.2020_final;Lukasova golubinka;Vickovi?a staje, Kladnjice;29.4.2020.;;7,4;;;7,4;80;termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
